"name"	"no"	"station "	"depth [m]"	"data"	"V-taken [ml]"	"Vth filtered [L]"	"V bottle [ml]"	"Class/Phylum"	"takson"	"takson_add"	"Taxon_full"	"AphiaID"	"K"	"N"	"fields"	"magn"	"cells in chamb"	"cells in V bottle [ml]"	"cells in 1000 ml"	"Gear"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium galeatum"		"Gymnodinium galeatum "		16635.11	15	222	60	1123.99391891892	22479.8783783784	22479.8783783784	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gyrodinium flagellare"		"Gyrodinium flagellare  "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Heterocapsa rotundata"		"Heterocapsa rotundata "		16635.11	11	222	60	824.262207207207	16485.2441441442	16485.2441441442	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Cryptophyceae "	"Leucocryptos marina"		"Leucocryptos marina "		16635.11	5	222	60	374.66463963964	7493.29279279279	7493.29279279279	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Oligotrichea"	"Lohmanniella oviformis"		"Lohmanniella oviformis "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Litostomatea "	"Mesodinium rubrum "		"Mesodinium rubrum  "		16635.11	3	222	60	224.798783783784	4495.97567567568	4495.97567567568	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Micracanthodinium claytonii"		"Micracanthodinium claytonii "		16635.11	3	222	60	224.798783783784	4495.97567567568	4495.97567567568	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Choanoflagellatea "	"Monosiga marina"		"Monosiga marina "		16635.11	14	222	60	1049.06099099099	20981.2198198198	20981.2198198198	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Oxyrrhis "	"sp."	"Oxyrrhis  sp."		16635.11	9	222	60	674.396351351351	13487.927027027	13487.927027027	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Phaeocystis pouchetii"		"Phaeocystis pouchetii "		16635.11	2	222	60	149.865855855856	2997.31711711712	2997.31711711712	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Prorocentrum"	"sp."	"Prorocentrum sp."		16635.11	6	222	60	449.597567567568	8991.95135135135	8991.95135135135	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Protoperidinium bipes"		"Protoperidinium bipes "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Protoperidinium pellucidum"		"Protoperidinium pellucidum "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Prasinophyceae"	"Pyramimonas"	"sp."	"Pyramimonas sp."		16635.11	17	222	60	1273.85977477477	25477.1954954955	25477.1954954955	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Cryptophyceae "	"Teleaulax"	"sp."	"Teleaulax sp."		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Telonemea"	"Telonema"	"sp."	"Telonema sp."		16635.11	3	222	60	224.798783783784	4495.97567567568	4495.97567567568	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Bacillariophyceae "	"Thalassiosira nordenskioeldii"		"Thalassiosira nordenskioeldii "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
