taxon	qualifier	stage	density	unit	op	length	sample
"Pseudocalanus minutus"		CV	52.51	N/m³			"97Kb4 MN-2"
Copepoda		nauplii	197.64	N/m³			"97Kb4 MN-2"
"Calanus hyperboreus"		CIV	3.19	N/m³			"97Kb4 MN-2"
"Calanus hyperboreus"		CV	0.59	N/m³			"97Kb4 MN-2"
"Calanus hyperboreus"		CIII	0.24	N/m³			"97Kb4 MN-2"
"Fritillaria borealis"			8.02	N/m³			"97Kb4 MN-2"
Bopyridae			0.12	N/m³			"97Kb4 MN-2"
"Pseudocalanus spp."		AM	0.24	N/m³			"97Kb4 MN-2"
"Pseudocalanus spp."		CI-CIII	203.54	N/m³			"97Kb4 MN-2"
Echinodermata		larvae	2.36	N/m³			"97Kb4 MN-2"
Gastropoda		veliger	1.06	N/m³			"97Kb4 MN-2"
"Themisto abyssorum"			0.49	N/m³			"97Kb4 MN-3"
"Themisto libellula"			3.52	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		AF	10.14	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		CIV	156.24	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		CV	23.39	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		CIII	71.98	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		CI	0.57	N/m³			"97Kb4 MN-3"
"Calanus finmarchicus"		CII	20.04	N/m³			"97Kb4 MN-3"
"Calanus glacialis"		AF	1.8	N/m³			"97Kb4 MN-3"
"Calanus glacialis"		CIV	96.52	N/m³			"97Kb4 MN-3"
"Calanus glacialis"		CV	36.81	N/m³			"97Kb4 MN-3"
"Calanus glacialis"		CIII	67.89	N/m³			"97Kb4 MN-3"
"Calanus glacialis"		CII	4.09	N/m³			"97Kb4 MN-3"
"Metridia longa"		CIV	0.08	N/m³			"97Kb4 MN-3"
"Metridia longa"		CIII	0.74	N/m³			"97Kb4 MN-3"
"Metridia longa"		CI	0.33	N/m³			"97Kb4 MN-3"
"Metridia longa"		CII	1.47	N/m³			"97Kb4 MN-3"
"Microcalanus spp."			32.15	N/m³			"97Kb4 MN-3"
"Oithona atlantica"			1.06	N/m³			"97Kb4 MN-3"
"Oithona similis"			167.69	N/m³			"97Kb4 MN-3"
"Triconia borealis"			28.63	N/m³			"97Kb4 MN-3"
"Sagitta elegans"			0.25	N/m³			"97Kb4 MN-3"
"Eukrohnia hamata"			0.33	N/m³			"97Kb4 MN-3"
"Oikopleura spp."			0.08	N/m³			"97Kb4 MN-3"
"Acartia longiremis"		CI-CV	0.16	N/m³			"97Kb4 MN-3"
"Pseudocalanus acuspes"		AF	0.82	N/m³			"97Kb4 MN-3"
"Pseudocalanus acuspes"		CIV	9	N/m³			"97Kb4 MN-3"
"Pseudocalanus minutus"		AF	1.31	N/m³			"97Kb4 MN-3"
"Pseudocalanus minutus"		CV	20.04	N/m³			"97Kb4 MN-3"
Copepoda		nauplii	13.91	N/m³			"97Kb4 MN-3"
Rotifera			0.33	N/m³			"97Kb4 MN-3"
"Calanus hyperboreus"		CIV	17.18	N/m³			"97Kb4 MN-3"
"Calanus hyperboreus"		CV	2.78	N/m³			"97Kb4 MN-3"
"Calanus hyperboreus"		CIII	1.15	N/m³			"97Kb4 MN-3"
"Thysanoessa raschii"			0.08	N/m³			"97Kb4 MN-3"
"Pseudocalanus spp."		AM	0.49	N/m³			"97Kb4 MN-3"
"Pseudocalanus spp."		CI-CIII	23.31	N/m³			"97Kb4 MN-3"
"Bradyidius similis"		CIV	1.31	N/m³			"97Kb4 MN-3"
"Bradyidius similis"		CV	0.57	N/m³			"97Kb4 MN-3"
"Bradyidius similis"		CIII	3.11	N/m³			"97Kb4 MN-3"
"Bradyidius similis"		CI	0.08	N/m³			"97Kb4 MN-3"
Echinodermata		larvae	0.82	N/m³			"97Kb4 MN-3"
"Themisto libellula"			0.88	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		AF	1.1	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		CIV	5.62	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		CV	0.55	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		CIII	7.38	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		CI	31.4	N/m³			"97Kb0A MN-1"
"Calanus finmarchicus"		CII	10.14	N/m³			"97Kb0A MN-1"
"Calanus glacialis"		CIV	4.3	N/m³			"97Kb0A MN-1"
"Calanus glacialis"		CV	1.98	N/m³			"97Kb0A MN-1"
"Calanus glacialis"		CIII	2.98	N/m³			"97Kb0A MN-1"
"Calanus glacialis"		CI	2.2	N/m³			"97Kb0A MN-1"
"Calanus glacialis"		CII	1.32	N/m³			"97Kb0A MN-1"
"Metridia longa"		CV	0.11	N/m³			"97Kb0A MN-1"
"Metridia longa"		CIII	0.22	N/m³			"97Kb0A MN-1"
"Metridia longa"		CI	0.11	N/m³			"97Kb0A MN-1"
"Metridia longa"		CII	0.22	N/m³			"97Kb0A MN-1"
"Microcalanus spp."			0.33	N/m³			"97Kb0A MN-1"
"Oithona similis"			431.18	N/m³			"97Kb0A MN-1"
"Triconia borealis"			0.55	N/m³			"97Kb0A MN-1"
"Limacina helicina"		adult	0.99	N/m³			"97Kb0A MN-1"
"Limacina helicina"		veliger	1.32	N/m³			"97Kb0A MN-1"
Polychaeta		"larvae secondary"	0.11	N/m³			"97Kb0A MN-1"
"Acartia longiremis"		AF	0.66	N/m³			"97Kb0A MN-1"
"Acartia longiremis"		CI-CV	2.53	N/m³			"97Kb0A MN-1"
Harpacticoida			0.77	N/m³			"97Kb0A MN-1"
"Microsetella norvegica"			0.22	N/m³			"97Kb0A MN-1"
"Pseudocalanus acuspes"		AF	0.22	N/m³			"97Kb0A MN-1"
"Pseudocalanus acuspes"		CIV	1.21	N/m³			"97Kb0A MN-1"
"Pseudocalanus acuspes"		CV	0.22	N/m³			"97Kb0A MN-1"
"Pseudocalanus minutus"		CV	0.88	N/m³			"97Kb0A MN-1"
Copepoda		nauplii	395.37	N/m³			"97Kb0A MN-1"
Cyclopoida			0.11	N/m³			"97Kb0A MN-1"
Chaetognatha		juvenile	0.11	N/m³			"97Kb0A MN-1"
"Calanus hyperboreus"		CIV	0.22	N/m³			"97Kb0A MN-1"
"Calanus hyperboreus"		CIII	0.55	N/m³			"97Kb0A MN-1"
"Fritillaria borealis"			89.59	N/m³			"97Kb0A MN-1"
Bopyridae			0.22	N/m³			"97Kb0A MN-1"
"Pseudocalanus spp."		CI-CIII	24.79	N/m³			"97Kb0A MN-1"
Foraminifera			0.33	N/m³			"97Kb0A MN-1"
Echinodermata		larvae	0.88	N/m³			"97Kb0A MN-1"
Bivalvia		veliger	0.77	N/m³			"97Kb0A MN-1"
"Themisto abyssorum"			0.08	N/m³			"97Kb0A MN-2"
"Themisto libellula"			2.54	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		AF	5	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		CIV	141.67	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		CV	23.71	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		CIII	161.67	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		CI	66.67	N/m³			"97Kb0A MN-2"
"Calanus finmarchicus"		CII	80.21	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		AF	0.33	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		CIV	26.92	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		CV	16.67	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		CIII	9.62	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		CI	2.58	N/m³			"97Kb0A MN-2"
"Calanus glacialis"		CII	1.92	N/m³			"97Kb0A MN-2"
"Metridia longa"		AF	0.04	N/m³			"97Kb0A MN-2"
"Metridia longa"		CIV	0.17	N/m³			"97Kb0A MN-2"
"Metridia longa"		CV	0.12	N/m³			"97Kb0A MN-2"
"Metridia longa"		CIII	0.21	N/m³			"97Kb0A MN-2"
"Metridia longa"		CII	0.42	N/m³			"97Kb0A MN-2"
"Microcalanus spp."			23.96	N/m³			"97Kb0A MN-2"
"Oithona atlantica"			0.62	N/m³			"97Kb0A MN-2"
"Oithona similis"			595.83	N/m³			"97Kb0A MN-2"
"Triconia borealis"			16.67	N/m³			"97Kb0A MN-2"
"Limacina helicina"		adult	0.04	N/m³			"97Kb0A MN-2"
"Limacina helicina"		veliger	4.5	N/m³			"97Kb0A MN-2"
Polychaeta		"larvae secondary"	0.08	N/m³			"97Kb0A MN-2"
"Sagitta elegans"			3.62	N/m³			"97Kb0A MN-2"
"Eukrohnia hamata"			0.75	N/m³			"97Kb0A MN-2"
"Thysanoessa inermis"			0.04	N/m³			"97Kb0A MN-2"
"Acartia longiremis"		AF	0.42	N/m³			"97Kb0A MN-2"
"Pseudocalanus acuspes"		AF	0.42	N/m³			"97Kb0A MN-2"
"Pseudocalanus acuspes"		CIV	42.71	N/m³			"97Kb0A MN-2"
"Pseudocalanus acuspes"		CV	0.62	N/m³			"97Kb0A MN-2"
"Pseudocalanus minutus"		AF	2.5	N/m³			"97Kb0A MN-2"
"Pseudocalanus minutus"		CV	46.17	N/m³			"97Kb0A MN-2"
Copepoda		nauplii	145.83	N/m³			"97Kb0A MN-2"
"Calanus hyperboreus"		CIV	6.67	N/m³			"97Kb0A MN-2"
"Calanus hyperboreus"		CV	0.5	N/m³			"97Kb0A MN-2"
"Calanus hyperboreus"		CIII	0.17	N/m³			"97Kb0A MN-2"
"Paraeuchaeta spp."		CV	0.04	N/m³			"97Kb0A MN-2"
Ctenophora		larvae	0.04	N/m³			"97Kb0A MN-2"
Decapoda		larvae	0.42	N/m³			"97Kb0A MN-2"
"Fritillaria borealis"			62.5	N/m³			"97Kb0A MN-2"
"Pseudocalanus spp."		AM	1.25	N/m³			"97Kb0A MN-2"
"Pseudocalanus spp."		CI-CIII	291.67	N/m³			"97Kb0A MN-2"
"Bradyidius similis"		CIV	0.04	N/m³			"97Kb0A MN-2"
"Bradyidius similis"		CV	0.04	N/m³			"97Kb0A MN-2"
Echinodermata		larvae	1.29	N/m³			"97Kb0A MN-2"
"Themisto abyssorum"			0.42	N/m³			"97Kb0A MN-3"
"Themisto libellula"			0.08	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		AF	10.03	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		CIV	56.01	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		CV	12.54	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		CIII	42.63	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		CI	0.29	N/m³			"97Kb0A MN-3"
"Calanus finmarchicus"		CII	7.15	N/m³			"97Kb0A MN-3"
"Calanus glacialis"		AF	0.59	N/m³			"97Kb0A MN-3"
"Calanus glacialis"		CIV	9.11	N/m³			"97Kb0A MN-3"
"Calanus glacialis"		CV	8.36	N/m³			"97Kb0A MN-3"
"Calanus glacialis"		CIII	7.98	N/m³			"97Kb0A MN-3"
"Calanus glacialis"		CII	1.5	N/m³			"97Kb0A MN-3"
"Metridia longa"		AF	5.02	N/m³			"97Kb0A MN-3"
"Metridia longa"		CIV	5.43	N/m³			"97Kb0A MN-3"
"Metridia longa"		CV	9.4	N/m³			"97Kb0A MN-3"
"Metridia longa"		CIII	2.97	N/m³			"97Kb0A MN-3"
"Metridia longa"		CI	2.09	N/m³			"97Kb0A MN-3"
"Metridia longa"		CII	2.68	N/m³			"97Kb0A MN-3"
"Microcalanus spp."			125.39	N/m³			"97Kb0A MN-3"
"Oithona atlantica"			4.56	N/m³			"97Kb0A MN-3"
"Oithona similis"			250.78	N/m³			"97Kb0A MN-3"
"Triconia borealis"			12.54	N/m³			"97Kb0A MN-3"
"Limacina helicina"		veliger	2.3	N/m³			"97Kb0A MN-3"
"Sagitta elegans"			0.75	N/m³			"97Kb0A MN-3"
"Eukrohnia hamata"			1.67	N/m³			"97Kb0A MN-3"
"Oikopleura spp."			0.33	N/m³			"97Kb0A MN-3"
"Pseudocalanus acuspes"		AF	3.89	N/m³			"97Kb0A MN-3"
"Pseudocalanus acuspes"		CIV	15.05	N/m³			"97Kb0A MN-3"
"Pseudocalanus acuspes"		CV	4.18	N/m³			"97Kb0A MN-3"
"Pseudocalanus minutus"		AF	7.77	N/m³			"97Kb0A MN-3"
"Pseudocalanus minutus"		CV	17.47	N/m³			"97Kb0A MN-3"
Copepoda		nauplii	4.18	N/m³			"97Kb0A MN-3"
"Metridia lucens"		AF	0.17	N/m³			"97Kb0A MN-3"
"Calanus hyperboreus"		CIV	0.71	N/m³			"97Kb0A MN-3"
"Calanus hyperboreus"		CV	0.08	N/m³			"97Kb0A MN-3"
"Calanus hyperboreus"		CIII	0.08	N/m³			"97Kb0A MN-3"
"Thysanoessa raschii"			0.04	N/m³			"97Kb0A MN-3"
"Paraeuchaeta spp."		CIV	0.08	N/m³			"97Kb0A MN-3"
"Paraeuchaeta spp."		CV	0.25	N/m³			"97Kb0A MN-3"
"Fritillaria borealis"			1.5	N/m³			"97Kb0A MN-3"
Bopyridae			0.75	N/m³			"97Kb0A MN-3"
"Pseudocalanus spp."		AM	1.8	N/m³			"97Kb0A MN-3"
"Pseudocalanus spp."		CI-CIII	83.59	N/m³			"97Kb0A MN-3"
"Bradyidius similis"		CIV	0.17	N/m³			"97Kb0A MN-3"
"Bradyidius similis"		CV	0.33	N/m³			"97Kb0A MN-3"
Bivalvia		veliger	0.75	N/m³			"97Kb0A MN-3"
"Themisto abyssorum"			0.57	N/m³			"97Kb0A MN-4"
"Themisto libellula"			0.07	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		AF	7.04	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		CIV	8.26	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		CV	10.69	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		CIII	1.15	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		CI	0.15	N/m³			"97Kb0A MN-4"
"Calanus finmarchicus"		CII	0.3	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		AF	1.11	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		CIV	2.43	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		CV	10.41	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		CIII	1.7	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		AM	0.02	N/m³			"97Kb0A MN-4"
"Calanus glacialis"		CI	0.15	N/m³			"97Kb0A MN-4"
"Metridia longa"		AF	1.48	N/m³			"97Kb0A MN-4"
"Metridia longa"		CIV	6.13	N/m³			"97Kb0A MN-4"
"Metridia longa"		CV	1.63	N/m³			"97Kb0A MN-4"
"Metridia longa"		CIII	26.67	N/m³			"97Kb0A MN-4"
"Metridia longa"		AM	0.22	N/m³			"97Kb0A MN-4"
"Metridia longa"		CI	17.04	N/m³			"97Kb0A MN-4"
"Metridia longa"		CII	32.96	N/m³			"97Kb0A MN-4"
"Microcalanus spp."			14.13	N/m³			"97Kb0A MN-4"
"Oithona atlantica"			3.33	N/m³			"97Kb0A MN-4"
"Oithona similis"			45.06	N/m³			"97Kb0A MN-4"
"Triconia borealis"			13.33	N/m³			"97Kb0A MN-4"
"Limacina helicina"		veliger	0.15	N/m³			"97Kb0A MN-4"
"Aglantha digitale"			0.02	N/m³			"97Kb0A MN-4"
Polychaeta		"larvae secondary"	0.07	N/m³			"97Kb0A MN-4"
"Sagitta elegans"			0.02	N/m³			"97Kb0A MN-4"
"Eukrohnia hamata"			2.35	N/m³			"97Kb0A MN-4"
"Thysanoessa inermis"			0.04	N/m³			"97Kb0A MN-4"
"Oikopleura spp."			0.91	N/m³			"97Kb0A MN-4"
"Scolecithricella minor"		CV	0.15	N/m³			"97Kb0A MN-4"
Harpacticoida			0.15	N/m³			"97Kb0A MN-4"
Monstrilloidae			0.02	N/m³			"97Kb0A MN-4"
Ostracoda			0.06	N/m³	gt	1	"97Kb0A MN-4"
"Pseudocalanus acuspes"		AF	3.63	N/m³			"97Kb0A MN-4"
"Pseudocalanus acuspes"		CIV	1.3	N/m³			"97Kb0A MN-4"
"Pseudocalanus acuspes"		CV	0.56	N/m³			"97Kb0A MN-4"
"Pseudocalanus minutus"		AF	1.26	N/m³			"97Kb0A MN-4"
"Pseudocalanus minutus"		CV	8.52	N/m³			"97Kb0A MN-4"
Copepoda		nauplii	5.93	N/m³			"97Kb0A MN-4"
"Metridia lucens"		AF	0.37	N/m³			"97Kb0A MN-4"
Nematoda			0.07	N/m³			"97Kb0A MN-4"
"Calanus hyperboreus"		AF	0.07	N/m³			"97Kb0A MN-4"
"Calanus hyperboreus"		CIV	2.74	N/m³			"97Kb0A MN-4"
"Calanus hyperboreus"		CV	0.11	N/m³			"97Kb0A MN-4"
"Paraeuchaeta spp."		CIV	0.04	N/m³			"97Kb0A MN-4"
"Paraeuchaeta spp."		CV	0.09	N/m³			"97Kb0A MN-4"
"Fritillaria borealis"			8.52	N/m³			"97Kb0A MN-4"
Bopyridae			0.22	N/m³			"97Kb0A MN-4"
"Paraeuchaeta norvegica"		AF	0.02	N/m³			"97Kb0A MN-4"
"Paraeuchaeta norvegica"		AM	0.02	N/m³			"97Kb0A MN-4"
"Pseudocalanus spp."		AM	0.3	N/m³			"97Kb0A MN-4"
"Pseudocalanus spp."		CI-CIII	4.81	N/m³			"97Kb0A MN-4"
"Bradyidius similis"		CIV	5.41	N/m³			"97Kb0A MN-4"
"Bradyidius similis"		CV	2.52	N/m³			"97Kb0A MN-4"
"Bradyidius similis"		CIII	5.28	N/m³			"97Kb0A MN-4"
"Bradyidius similis"		CI	0.04	N/m³			"97Kb0A MN-4"
Echinodermata		larvae	0.15	N/m³			"97Kb0A MN-4"
Bivalvia		veliger	0.3	N/m³			"97Kb0A MN-4"
"Themisto abyssorum"			0.85	N/m³			"97Kb0A MN-5"
"Themisto libellula"			0.04	N/m³			"97Kb0A MN-5"
"Calanus finmarchicus"		AF	61.57	N/m³			"97Kb0A MN-5"
"Calanus finmarchicus"		CIV	23.72	N/m³			"97Kb0A MN-5"
"Calanus finmarchicus"		CV	76.43	N/m³			"97Kb0A MN-5"
"Calanus finmarchicus"		CIII	0.64	N/m³			"97Kb0A MN-5"
"Calanus finmarchicus"		CI	0.21	N/m³			"97Kb0A MN-5"
"Calanus glacialis"		AF	0.93	N/m³			"97Kb0A MN-5"
"Calanus glacialis"		CIV	2.12	N/m³			"97Kb0A MN-5"
"Calanus glacialis"		CV	7.71	N/m³			"97Kb0A MN-5"
"Calanus glacialis"		CIII	0.21	N/m³			"97Kb0A MN-5"
"Metridia longa"		AF	0.34	N/m³			"97Kb0A MN-5"
"Metridia longa"		CIV	0.42	N/m³			"97Kb0A MN-5"
"Metridia longa"		CV	0.13	N/m³			"97Kb0A MN-5"
"Metridia longa"		CIII	48.83	N/m³			"97Kb0A MN-5"
"Metridia longa"		AM	0.04	N/m³			"97Kb0A MN-5"
"Metridia longa"		CI	111.46	N/m³			"97Kb0A MN-5"
"Metridia longa"		CII	114.65	N/m³			"97Kb0A MN-5"
"Microcalanus spp."			8.49	N/m³			"97Kb0A MN-5"
"Oithona atlantica"			0.08	N/m³			"97Kb0A MN-5"
"Oithona similis"			13.8	N/m³			"97Kb0A MN-5"
"Triconia borealis"			90.23	N/m³			"97Kb0A MN-5"
"Limacina helicina"		veliger	0.21	N/m³			"97Kb0A MN-5"
Polychaeta			0.02	N/m³			"97Kb0A MN-5"
Polychaeta		"larvae secondary"	1.27	N/m³			"97Kb0A MN-5"
"Sagitta elegans"			0.23	N/m³			"97Kb0A MN-5"
"Eukrohnia hamata"			1.02	N/m³			"97Kb0A MN-5"
"Thysanoessa inermis"			0.02	N/m³			"97Kb0A MN-5"
"Oikopleura spp."			0.04	N/m³			"97Kb0A MN-5"
"Scolecithricella minor"		CV	0.17	N/m³			"97Kb0A MN-5"
"Leucon sp."			0.02	N/m³			"97Kb0A MN-5"
Monstrilloidae			0.04	N/m³			"97Kb0A MN-5"
Ostracoda		juvenile	0.17	N/m³			"97Kb0A MN-5"
Ostracoda			0.38	N/m³	gt	1	"97Kb0A MN-5"
"Pseudocalanus acuspes"		AF	0.17	N/m³			"97Kb0A MN-5"
"Pseudocalanus acuspes"		CIV	0.21	N/m³			"97Kb0A MN-5"
"Pseudocalanus minutus"		AF	0.25	N/m³			"97Kb0A MN-5"
"Pseudocalanus minutus"		CV	46.71	N/m³			"97Kb0A MN-5"
Copepoda		nauplii	44.06	N/m³			"97Kb0A MN-5"
Euphausiacea		nauplii	0.17	N/m³			"97Kb0A MN-5"
Chaetognatha		juvenile	0.04	N/m³			"97Kb0A MN-5"
"Calanus hyperboreus"		AF	3.86	N/m³			"97Kb0A MN-5"
"Calanus hyperboreus"		CIV	24.42	N/m³			"97Kb0A MN-5"
"Calanus hyperboreus"		CV	6.37	N/m³			"97Kb0A MN-5"
Siphonophorae			0.06	N/m³			"97Kb0A MN-5"
"Heterorhabdus norvegicus"		AM	0.04	N/m³			"97Kb0A MN-5"
"Paraeuchaeta spp."		CV	0.06	N/m³			"97Kb0A MN-5"
"Fritillaria borealis"			16.99	N/m³			"97Kb0A MN-5"
Bopyridae			0.04	N/m³			"97Kb0A MN-5"
"Paraeuchaeta norvegica"		AF	0.02	N/m³			"97Kb0A MN-5"
"Paraeuchaeta norvegica"		AM	0.02	N/m³			"97Kb0A MN-5"
"Pseudocalanus spp."		CI-CIII	1.06	N/m³			"97Kb0A MN-5"
"Bradyidius similis"		CIV	1.7	N/m³			"97Kb0A MN-5"
"Bradyidius similis"		CV	0.93	N/m³			"97Kb0A MN-5"
"Bradyidius similis"		CIII	4.88	N/m³			"97Kb0A MN-5"
"Bradyidius similis"		CI	0.23	N/m³			"97Kb0A MN-5"
"Themisto abyssorum"			0.1	N/m³			"97Kb1 MN-1"
"Themisto libellula"			0.51	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		AF	4.04	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		CIV	23.54	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		CV	8.48	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		CIII	48.48	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		CI	96.97	N/m³			"97Kb1 MN-1"
"Calanus finmarchicus"		CII	56.57	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		AF	0.81	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		CIV	18.18	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		CV	21.01	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		CIII	7.07	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		CI	0.71	N/m³			"97Kb1 MN-1"
"Calanus glacialis"		CII	2.02	N/m³			"97Kb1 MN-1"
"Metridia longa"		AF	0.4	N/m³			"97Kb1 MN-1"
"Metridia longa"		CIV	1.31	N/m³			"97Kb1 MN-1"
"Metridia longa"		CV	0.3	N/m³			"97Kb1 MN-1"
"Metridia longa"		CIII	6.46	N/m³			"97Kb1 MN-1"
"Metridia longa"		AM	0.1	N/m³			"97Kb1 MN-1"
"Metridia longa"		CI	2.73	N/m³			"97Kb1 MN-1"
"Metridia longa"		CII	7.37	N/m³			"97Kb1 MN-1"
"Microcalanus spp."			6.06	N/m³			"97Kb1 MN-1"
"Oithona atlantica"			1.31	N/m³			"97Kb1 MN-1"
"Oithona similis"			1161.62	N/m³			"97Kb1 MN-1"
"Triconia borealis"			2.02	N/m³			"97Kb1 MN-1"
"Limacina helicina"		adult	0.2	N/m³			"97Kb1 MN-1"
"Limacina helicina"		veliger	4.75	N/m³			"97Kb1 MN-1"
"Aglantha digitale"			0.1	N/m³			"97Kb1 MN-1"
Polychaeta		"larvae trochophora"	0.81	N/m³			"97Kb1 MN-1"
"Sagitta elegans"			0.4	N/m³			"97Kb1 MN-1"
"Eukrohnia hamata"			0.51	N/m³			"97Kb1 MN-1"
"Acartia longiremis"		AF	1.62	N/m³			"97Kb1 MN-1"
"Acartia longiremis"		CI-CV	3.33	N/m³			"97Kb1 MN-1"
Harpacticoida			0.4	N/m³			"97Kb1 MN-1"
"Pseudocalanus acuspes"		AF	0.4	N/m³			"97Kb1 MN-1"
"Pseudocalanus acuspes"		CIV	3.03	N/m³			"97Kb1 MN-1"
"Pseudocalanus acuspes"		CV	1.21	N/m³			"97Kb1 MN-1"
"Pseudocalanus minutus"		AF	0.81	N/m³			"97Kb1 MN-1"
"Pseudocalanus minutus"		CV	9.7	N/m³			"97Kb1 MN-1"
Copepoda		nauplii	580.81	N/m³			"97Kb1 MN-1"
"Calanus hyperboreus"		AF	0.1	N/m³			"97Kb1 MN-1"
"Calanus hyperboreus"		CIV	2.93	N/m³			"97Kb1 MN-1"
"Calanus hyperboreus"		CV	0.2	N/m³			"97Kb1 MN-1"
"Fritillaria borealis"			353.54	N/m³			"97Kb1 MN-1"
Bopyridae			0.2	N/m³			"97Kb1 MN-1"
"Pseudocalanus spp."		CI-CIII	55.56	N/m³			"97Kb1 MN-1"
"Bradyidius similis"		CIV	0.1	N/m³			"97Kb1 MN-1"
"Bradyidius similis"		CV	0.3	N/m³			"97Kb1 MN-1"
"Bradyidius similis"		CIII	0.2	N/m³			"97Kb1 MN-1"
"Bradyidius similis"		CI	0.2	N/m³			"97Kb1 MN-1"
Echinodermata		larvae	60.61	N/m³			"97Kb1 MN-1"
"Themisto abyssorum"			0.75	N/m³			"97Kb1 MN-2"
"Themisto libellula"			1.09	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		AF	5.2	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		CIV	97.09	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		CV	15.04	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		CIII	113.5	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		CI	71.11	N/m³			"97Kb1 MN-2"
"Calanus finmarchicus"		CII	97.09	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		AF	0.89	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		CIV	37.61	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		CV	27.35	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		CIII	17.78	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		CI	4.1	N/m³			"97Kb1 MN-2"
"Calanus glacialis"		CII	1.37	N/m³			"97Kb1 MN-2"
"Metridia longa"		AF	0.41	N/m³			"97Kb1 MN-2"
"Metridia longa"		CIV	0.75	N/m³			"97Kb1 MN-2"
"Metridia longa"		CV	0.21	N/m³			"97Kb1 MN-2"
"Metridia longa"		CIII	2.19	N/m³			"97Kb1 MN-2"
"Metridia longa"		AM	0.14	N/m³			"97Kb1 MN-2"
"Metridia longa"		CI	2.05	N/m³			"97Kb1 MN-2"
"Metridia longa"		CII	4.1	N/m³			"97Kb1 MN-2"
"Microcalanus spp."			8.21	N/m³			"97Kb1 MN-2"
"Oithona atlantica"			0.68	N/m³			"97Kb1 MN-2"
"Oithona similis"			615.38	N/m³			"97Kb1 MN-2"
"Triconia borealis"			21.88	N/m³			"97Kb1 MN-2"
"Limacina helicina"		veliger	9.57	N/m³			"97Kb1 MN-2"
Polychaeta		"larvae secondary"	0.07	N/m³			"97Kb1 MN-2"
"Sagitta elegans"			5.06	N/m³			"97Kb1 MN-2"
"Eukrohnia hamata"			1.09	N/m³			"97Kb1 MN-2"
"Acartia longiremis"		AF	0.27	N/m³			"97Kb1 MN-2"
"Acartia longiremis"		CI-CV	0.27	N/m³			"97Kb1 MN-2"
Harpacticoida			0.27	N/m³			"97Kb1 MN-2"
